id;status;priority;description;created_at;updated_at;closed_at
1;ASSIGNED;HIGH;Rubber schemas Fantastic Metal Hat;16654;8780;41505
2;NEW;HIGH;Public-key;81472;97616;65167
3;ASSIGNED;HIGH;compress Director navigating;66471;36123;53959
4;ASSIGNED;CRITICAL;indigo;9013;34429;44662
5;SUSPENDED;LOW;Awesome Concrete Salad Associate;49851;5715;70583
6;NEW;MEDIUM;invoice support Awesome;24140;25635;70101
7;SUSPENDED;LOW;Cloned open-source Designer;94955;68929;49746
8;IN_PROGRESS;CRITICAL;Credit Card Account invoice monitor;68104;2138;65110
9;ASSIGNED;HIGH;context-sensitive Somoni Netherlands Antillian Guilder;70994;93835;71114
10;IN_PROGRESS;CRITICAL;International;28996;69619;32545
